directory,filename,file_ext,size_bytes,size_kib,size_kb,size_mib,size_mb,rel_path,full_path
Herbarium Sheets,4000-1-10077_1.jpg,jpg,104849,102.4,105,0.1,0,Herbarium Sheets/4000-1-10077_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10871_1.jpg,jpg,70802,69.1,71,0.1,0,Herbarium Sheets/4000-1-10871_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-11077_1.jpg,jpg,73438,71.7,73,0.1,0,Herbarium Sheets/4000-1-11077_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-6838_1.jpg,jpg,84243,82.3,84,0.1,0,Herbarium Sheets/4000-1-6838_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-11032_1.jpg,jpg,81849,79.9,82,0.1,0,Herbarium Sheets/4000-1-11032_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10051_2.jpg,jpg,126888,123.9,127,0.1,0,Herbarium Sheets/4000-1-10051_2.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10527_1.jpg,jpg,55635,54.3,56,0.1,0,Herbarium Sheets/4000-1-10527_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10562_1.jpg,jpg,68099,66.5,68,0.1,0,Herbarium Sheets/4000-1-10562_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-7107_1.jpg,jpg,29863,29.2,30,0,0,Herbarium Sheets/4000-1-7107_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10626_1.jpg,jpg,88027,86,88,0.1,0,Herbarium Sheets/4000-1-10626_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
