dcterms:identifier,dcterms:isPartOf,dcterms:provenance,dcterms:extent,dcterms:type,dcterms:medium,dcterms:spatial,dcterms:subject,dcterms:description,filename
17582,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Rattan; Bamboo,Asia-Southeast Asia-Philippines-Ilocos Norte-; ; Laoag,,"""One telescoping traveling basket made of bamboo and rattan. This basket is carried under the arm by a rope strap that also serves to hold together the lid and the base. The overall shape is a rectangular base that woven up into an oblong solid with a rectangular top. The lid is as tall as the base allowing the basket to expand in height as it is filled. The color is natural with narrow diagonal stripes woven into the body of the lid.""",17582_1.jpeg
17583,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Rattan,Asia-southeast Asia-Philippines-Isabela-; ; Cabagan,,Corn measure of rattan. Used for both measuring and handling. Small rounded woven basket.,17583_1.jpeg
17584,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Bamboo; Rattan,Asia-Southeast Asia-Philippines-Isabela-; ; Cabagan,,"""Buyo basket-bamboo rattan dappig Used by Ifudgaos""",
17585,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Rattan; Bamboo; Fiber,Asia-Southeast Asia-Philippines-Isabela-; Luzon; Cabagan,Ifugao,"""One Buyo basket of bamboo rattan and dappig. Used by the Ifugaos. Tall basket with round opening and square bottom changes shape halfway. Upper section has tight weave (rattan) and lower was looe weave. The rim is made of rattan wrapped bamboo. A cord of braided fiber is attached at two points on opposite sides and hangs in the middle. Tag says: """"Obtained at batangas. It has been used. One is put on each end of a pole and carried on the shoulders."""" fiber cord was probably used for hanging on pole.""",17585_1.jpeg
17586,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Balsa,Asia-Southeast Asia-Philippines-Leyte-; ;,,One work basket of buri for holding abaca fibers in preparation for weaving.,17586_1.jpeg
17587,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Bamboo,"""Asia-Southeast Asia-Philippines-Bulacan-; ; Bisao","Lepanto""","""Bamboo rice basket for uncooked rice. This basket has a thick rectangular frame at the base thick woven pieces form a frame along the sides and there is a round frame piece at the mouth of the basket. The basket bulges in the middle and is constricted at the mouth and base. There are four handles formed by separating the frame pieces along the sides allowing a gap. The basket is rather dark and it appears that the fibers have been treated with something to make them darker.""",17587_1.jpeg
17588,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Bamboo; Rattan,Asia-Southeast Asia-Philippines-Bulacan-; ; Balacan,,One sewing basket of bamboo and rattan. Wide mesh hexagonal bottom. Round opening. Open weave. Forms patterns that look like stars of David. Bamboo around rim.,
17589,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Balsa,"""Asia-Southeast Asia-Philippines-Bulacan-; ; Balacan","Philippines""",Utility basket of bamboo and rattan. This basket has a rectangular base and round opening on top rimmed with a thick strip of bamboo.,
17590,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Bamboo; Rattan,Asia-Southeast Asia-Philippines--; ; Manoba,,"""1 rice basket of bamboo rattan and bark. This basket has a rectangular base of rigid material that is tied to the main part of the basket. At the top the basket opening is round and ringed with a piece of bamboo to help hold its shape.""",17590_1.jpeg
17591,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Balsa,Asia-Southeast Asia-Philippines--; ;,,"""Utility basket of bamboo rattan and nito. The basket is round and made of an open weave. A handle extends over the basket and accounts for over half the artifact height.""",17591_1.jpeg
