Object identifier, Divisions                   , Accession Number         , Accession Description                           , Quantity    , Type        , Other Numbers                                    , Object Type           , Materials                    , Verbatim Geography                                 , Geographic Location  , Political Location          , Culture , Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , Curatorial Notes
17586            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5873
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Balsa                        , Asia-Southeast Asia-Philippines-Leyte-             ,                      ,                             ,         , One work basket of buri for holding abaca fibers in preparation for weaving.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , 
17587            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5875
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Bamboo                       , Asia-Southeast Asia-Philippines-Bulacan-           ,                      , Bisao - Lepanto             ,         , Bamboo rice basket for uncooked rice. This basket has a thick rectangular frame at the base thick woven pieces form a frame along the sides and there is a round frame piece at the mouth of the basket. The basket bulges in the middle and is constricted at the mouth and base. There are four handles formed by separating the frame pieces along the sides allowing a gap. The basket is rather dark and it appears that the fibers have been treated with something to make them darker.                                                                                                                                    , 
17588            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5884
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Bamboo; Rattan               , Asia-Southeast Asia-Philippines-Bulacan-           ,                      , Balacan                     ,         , One sewing basket of bamboo and rattan. Wide mesh hexagonal bottom. Round opening. Open weave. Forms patterns that look like stars of David. Bamboo around rim.                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , 
17589            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5891
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Balsa                        , Asia-Southeast Asia-Philippines-Bulacan-           ,                      , Balacan - Philippines       ,         , Utility basket of bamboo and rattan. This basket has a rectangular base and round opening on top rimmed with a thick strip of bamboo.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 
17590            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5894
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Bamboo; Rattan               , Asia-Southeast Asia-Philippines--                  ,                      , Manoba                      ,         , 1 rice basket of bamboo rattan and bark. This basket has a rectangular base of rigid material that is tied to the main part of the basket. At the top the basket opening is round and ringed with a piece of bamboo to help hold its shape.                                                                                                                                                                                                                                                                                                                                                                                       , 
17591            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5920
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Balsa                        , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , Utility basket of bamboo rattan and nito. The basket is round and made of an open weave. A handle extends over the basket and accounts for over half the artifact height.                                                                                                                                                                                                                                                                                                                                                                                                                                                         , 
17593            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5954
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Balsa                        , Asia-Southeast Asia-Philippines-Ilocos Norte-      ,                      , Batac                       , Tinguian, Bamboo rice basket from Tinguian culture. The basket sits on a rectangular base and has a general bowl shape and a wide round opening at top. The majority of the basket is light brown but a darker brown decoration has been achieved by weaving dark bands horizontally and vertically.                                                                                                                                                                                                                                                                                                                                        , 
17594            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5967
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Balsa                        , Asia-Southeast Asia-Philippines-Camarines Norte-   ,                      , San Jose - Camarines        ,         , Hexagonal basket woven with hexagonal pattern and with undulating top.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , 
17596            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5974
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Reed                         , Asia-Southeast Asia-Philippines-Albay-             ,                      , Buro - Legaspi              , Bicol   , One cylindrical sewing basket made of caragumoy. The base is roughly square but the body is round and straight forming a cylinder shape. Used by the Bicol.                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
17597            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5995
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Bamboo                       , Asia-Southeast Asia-Philippines-Ilocos Sur-        ,                      , Namitpit - Lepanto          ,         , Rice basket of bamboo for uncooked rice.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , 
