dcterms:identifier       , dcterms:isPartOf, dcterms:identifier       , dcterms:provenance                              , dcterms:extent        , dcterms:isPartOf, dcterms:alternative                                   , dcterms:type          , dcterms:medium               , dcterms:temporal, dcterms:provenance                              , dcterms:spatial             , dcterms:spatial             , dcterms:spatial             , dcterms:subject, dcterms:description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , dcterms:description
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5884 Number Type: original numbers"                        , Basket                , Bamboo; Rattan               ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Balacan                     , Balacan                     , Balacan                     ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5891 Number Type: original numbers"                        , Basket                , Balsa                        ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Balacan - Philippines       , Balacan - Philippines       , Balacan - Philippines       ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5894 Number Type: original numbers"                        , Basket                , Bamboo; Rattan               ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Manoba                      , Manoba                      , Manoba                      ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5920 Number Type: original numbers"                        , Basket                , Balsa                        ,                 , Accession #1387 Donation 04/29/1941 (1387)      ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5954 Number Type: original numbers"                        , Basket                , Balsa                        ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Batac                       , Batac                       , Batac                       , Tinguian       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5967 Number Type: original numbers"                        , Basket                , Balsa                        ,                 , Accession #1387 Donation 04/29/1941 (1387)      , San Jose - Camarines        , San Jose - Camarines        , San Jose - Camarines        ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5974 Number Type: original numbers"                        , Basket                , Reed                         ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Buro - Legaspi              , Buro - Legaspi              , Buro - Legaspi              , Bicol          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5995 Number Type: original numbers"                        , Basket                , Bamboo                       ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Namitpit - Lepanto          , Namitpit - Lepanto          , Namitpit - Lepanto          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo6009 Number Type: original numbers"                        , Basket                , Fiber; Rattan                ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Pinamalayan - Mindoro       , Pinamalayan - Mindoro       , Pinamalayan - Mindoro       ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo6099 Number Type: original numbers"                        , Basket                , Balsa                        ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Lucban                      , Lucban                      , Lucban                      , Tagalog        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
